title,doi,year,target,reasoning,alternatives,CHEMICAL HARM
Relationship Between Sulfidated Nano Zero Valent Iron and a Reductive Dechlorinating Microbial Culture - Synergistic or Antagonistic?,10.3897/aca.6.e111354,2023,"1,2-dichloroethane","The abstract discusses the use of CMC-S-nZVI as a treatment that successfully degrades 1,2-dichloroethane (1,2-DCA) in combination with a microbial culture, suggesting it is a safer alternative due to its ability to generate lesser amounts of toxic intermediates compared to conventional methods. This indicates a safety advantage over 1,2-dichloroethane-based approaches.",CMC-S-nZVI,
Efficient Isomerization of α-Pinene Oxide to Campholenic Aldehyde Promoted by a Mixed-Ring Analogue of Molybdenocene,10.1021/ACSSUSCHEMENG.9B03087,2019,"1,2-dichloroethane","The abstract indicates that the ionic liquid [Choline][NTf2] can achieve similar or better yields in a shorter time compared to the use of 1,2-dichloroethane, suggesting it is a safer alternative due to its improved performance and potential environmental benefits.",[Choline][NTf2],
"Modification of Zero-valent Iron with Fe-N4 Coordination Structure Enables Dechlorination of 1,2-Dichloroethane.",10.1021/acs.est.5c08914,2025,"1,2-dichloroethane","The abstract presents a modified zero-valent iron composite (Fe0@FeNC) that demonstrates effective dechlorination of 1,2-dichloroethane, indicating it as a safer alternative due to its ability to degrade this contaminant significantly. The performance of Fe0@FeNC suggests it can replace conventional methods that are ineffective against 1,2-DCA.",Fe0@FeNC,
Selective Adsorption of VOCs/Water Vapor on Activated Carbon: The Role of Adsorbent and VOC Molecular Polarity,10.3390/separations12040086,2025,"1,2-dichloroethane","The abstract discusses the performance of heat-treated coconut shell activated carbon (HCSC) in selectively adsorbing toluene compared to 1,2-dichloroethane, indicating that HCSC has superior adsorption selectivity for toluene over 1,2-dichloroethane. This suggests that HCSC may serve as a safer alternative in contexts where 1,2-dichloroethane is typically used, particularly in humid industrial conditions.",heat-treated coconut shell activated carbon (HCSC),
Microencapsulation of Lead-Halide Perovskites in an Oil-in-Fluorine Emulsion for Cell Imaging,10.3390/nano13091540,2023,"1,2-dichloroethane","The abstract describes the development of CsPbBr3 microcapsules that exhibit extremely low cytotoxicity and improved stability compared to conventional methods involving 1,2-dichloroethane. This suggests that the microcapsules are a safer alternative due to their biosafety and reduced toxicity.",CsPbBr3 microcapsules,
Exploring Solvent Effects in the Radiosynthesis of 18F-Labeled Thymidine Analogues toward Clinical Translation for Positron Emission Tomography Imaging.,10.1021/acsptsci.0c00184,2020,"1,2-dichloroethane","The abstract explicitly states that 1,4-dioxane is used to replace 1,2-dichloroethane and is analyzed as a better solvent in terms of radiochemical yield and toxicity concern, indicating it is a safer alternative.","1,4-dioxane",
Novel and Efficient Synthesis of Phenethyl Formate via Enzymatic Esterification of Formic Acid,10.3390/biom10010070,2020,"1,2-dichloroethane","The abstract indicates that when 1,2-dichloroethane is replaced with toluene as the solvent, the process remains efficient and is described as more environmentally friendly than current methods. This suggests that toluene is a safer alternative to 1,2-dichloroethane.",toluene,
"Degradation of 1,2-dichloroethane in real polluted groundwater by using enriched bacterial consortia in aerobic and anaerobic laboratory-scale conditions",10.1016/j.ibiod.2023.105644,2023,"1,2-dichloroethane","The abstract discusses the use of poly-β-hydroxybutyrate (PHB) as an electron donor in the degradation of 1,2-dichloroethane, indicating that PHB can sustain reductive dechlorination processes. This suggests that PHB may serve as a safer alternative to 1,2-dichloroethane-based methods, as it facilitates the removal of the contaminant while potentially reducing associated risks.",poly-β-hydroxybutyrate (PHB),
Fabrication of Superhydrophobic/Superoleophilic Bamboo Cellulose Foam for Oil/Water Separation,10.3390/polym14235162,2022,"1,2-dichloroethane","The abstract presents bamboo cellulose foam as a biodegradable, low-cost, and environmentally friendly alternative for oil absorption, which implies a safer option compared to conventional materials like 1,2-dichloroethane. It highlights the foam's recyclability and natural composition, suggesting safety advantages over 1,2-dichloroethane.",bamboo cellulose foam,
"1,2-Dichloroethane induces testicular pyroptosis by activating piR-mmu-1019957/IRF7 pathway and the protective effects of melatonin.",10.1016/j.envint.2024.108480,2024,"1,2-dichloroethane","The abstract indicates that melatonin mitigates the testicular toxicity caused by 1,2-Dichloroethane, suggesting its potential as a therapeutic intervention against the harmful effects of 1,2-Dichloroethane. This implies that melatonin could be considered a safer alternative in this context.",melatonin,"testicular toxicity, induction of pyroptosis, cellular membrane pore formation, lactate dehydrogenase leakage"
