title,doi,year,target,reasoning,alternatives,CHEMICAL HARM
"Genotoxicity evaluation of carbon monoxide and 1,3-butadiene using a new joint technology: the in vitro γH2AX HCS assay combined with air–liquid interface system",10.1080/15376516.2018.1477897,2018,"1,3-butadiene","The abstract compares the genotoxicity of carbon monoxide (CO) and 1,3-butadiene using a new assay. It reports that CO showed no statistically significant genotoxic effects, whereas 1,3-butadiene induced significant genotoxicity. This indicates that CO has a safety advantage in terms of genotoxicity compared to 1,3-butadiene, suggesting CO as a safer alternative.",carbon monoxide (CO),genotoxicity
Temperature-Dependent Photoluminescence of PEDOT:PSS for use as Transparent Electrodes in the DarkSide-20k Time Projection Chamber,,2024,"1,3-butadiene","The abstract discusses the use of Clevios as a transparent electrode material and compares its fluorescence to that of 1,1,4,4-tetraphenyl-1,3-butadiene (TPB), indicating that Clevios has negligible fluorescence compared to TPB. This suggests that Clevios may be a safer alternative in terms of reducing background fluorescence in particle detection applications, which can be interpreted as a safety advantage over 1,3-butadiene.",Clevios,
Development of Air Toxic Emission Factor and Inventory of On-road Mobile Sources,10.4137/ASWR.S13320,2014,"1,3-butadiene","The abstract discusses the use of compressed natural gas (CNG) as a mitigation measure that leads to a significant reduction in emissions of 1,3-butadiene, indicating that CNG is a safer alternative in terms of lower emissions compared to 1,3-butadiene. This suggests a safety advantage over 1,3-butadiene in the context of air toxic emissions.",compressed natural gas (CNG),
In Situ Analysis of the Effect of Tetraakylammonium Salts on the Selectivity and Efficiency of Acrylonitrile Electrohydrodimerization,10.1149/ma2023-01462508mtgabs,2023,"1,3-butadiene","The abstract discusses the production of adiponitrile (ADN) via electrochemical methods as an alternative to the thermochemical hydrocyanation of 1,3-butadiene, which uses hydrogen cyanide, a highly toxic reactant. This implies that the electrochemical method may be safer due to the avoidance of hydrogen cyanide, although it does not explicitly state that it is safer than 1,3-butadiene itself.",,
Blending of NR/BR/ENR/EPDM-g-GMA by reactive processing for tire sidewall applications,10.1177/0095244315580453,2016,"1,3-butadiene","The abstract discusses the use of EPDM grafted with GMA and ENR as a blend for tire sidewall applications, indicating improved properties compared to conventional blends that include butadiene rubber (BR). While it does not explicitly state that these materials are safer than 1,3-butadiene, the context implies a safer alternative due to the mention of improved ozone resistance and mechanical properties, which can be interpreted as safety advantages in the application. Therefore, it suggests a safer alternative relative to conventional blends that include 1,3-butadiene.",,
The Impacts of Mid-Level Alcohol Content in Gasoline on SIDI Engine-Out and Tailpipe Emissions,10.1115/ICEF2010-35106,2010,"1,3-butadiene","The abstract reports that iso-butanol blended fuels reduced emissions of 1,3-butadiene compared to the baseline gasoline fuel. This indicates a safety advantage in terms of lower 1,3-butadiene emissions, which can be reasonably interpreted as a safer alternative to 1,3-butadiene in fuel emissions. Iso-butanol is thus presented as a safer alternative in this context.",iso-butanol,
"Results of NTP-sponsored mouse cytogenetic studies on 1,3-butadiene, isoprene, and chloroprene.",10.1289/EHP.908671,1990,"1,3-butadiene","The abstract indicates that chloroprene gave negative results for all cytogenetic endpoints assessed in bone marrow cells, suggesting it may be a safer alternative to 1,3-butadiene, which induced significant increases in harmful cytogenetic effects. This implies that chloroprene has a safety advantage over 1,3-butadiene.",chloroprene,"cytotoxicity, cytogenetic effects, increased sister chromatid exchange (SCE), micronuclei formation, chromosomal aberrations"
FTP Emissions Test Results from Flexible-Fuel Methanol Dodge Spirits and Ford Econoline Vans,10.4271/961090,1996,"1,3-butadiene","The abstract indicates that the M85 fuel tests showed lower levels of 1,3-butadiene compared to the RFG tests, suggesting that M85 is a safer alternative in terms of lower emissions of this specific air toxin.",M85 fuel,
"Comparison of Urinary Biomarkers of Exposure in Humans Using Electronic Cigarettes, Combustible Cigarettes, and Smokeless Tobacco.",10.1093/ntr/nty089,2019,"1,3-butadiene","The abstract compares exposure to 1,3-butadiene metabolites among users of combustible cigarettes, e-cigarettes, and smokeless tobacco. It states that metabolites of 1,3-butadiene were significantly higher in smokers than in users of other products or non-tobacco users, indicating lower exposure from e-cigarettes and smokeless tobacco. This suggests that e-cigarettes and smokeless tobacco deliver lower levels of most VOCs, including 1,3-butadiene, compared to combustible cigarettes, implying a safety advantage as alternatives to 1,3-butadiene exposure from smoking.",e-cigarettes; smokeless tobacco,
New reaction route for bio-based adiponitrile production: Towards the rational design of the reactants and reaction pathways,10.1360/tb-2019-0311,2019,"1,3-butadiene","The abstract discusses a novel synthetic strategy for adiponitrile production that avoids the safety risks and pollution issues associated with current methods, which include the hydrocyanation of 1,3-butadiene. This implies that the new method is a safer alternative to 1,3-butadiene, as it addresses safety concerns directly.",,
