title,doi,year,target,reasoning,alternatives,CHEMICAL HARM
Repurposing of waste PET by microbial biotransformation to functionalized materials for additive manufacturing,10.1093/jimb/kuad010,2023,acrylonitrile,"The abstract mentions the development of novel 3D printing materials as replacements for acrylonitrile butadiene styrene (ABS), implying a safer or more environmentally friendly alternative. It highlights the use of microbial biotransformation of PET waste to produce these materials, which are described as potentially environmentally friendly and degradable, suggesting safety advantages over conventional acrylonitrile-based polymers.",,
Optimizing ceftolozane-tazobactam dosage during continuous renal replacement therapy: some nuances,10.1186/s13054-019-2724-y,2020,acrylonitrile,"The abstract explicitly states that a polysulphone membrane is used instead of an acrylonitrile membrane, highlighting that antibiotic adsorption with polysulphone membranes is negligible, which is a safety advantage. This indicates that polysulphone membranes are a safer alternative to acrylonitrile membranes in the context of continuous renal replacement therapy.",polysulphone,
Surface modification of acrylonitrile-butadiene-styrene (ABS) with heterogeneous photocatalysis (TiO2) for the substitution of the etching stage in the electroless process,10.1016/J.SURFCOAT.2011.09.005,2011,acrylonitrile,The abstract discusses an alternative surface treatment using TiO2 nanoparticles that presents substantially lower environmental impact compared to the traditional sulfo-chromic admixture used in the electroless process. This indicates a safer alternative due to the reduced environmental risks associated with Cr (VI).,titanium dioxide (TiO2) nanoparticles,
Wastewater-Based Epidemiology (WBE): Potential Application for Assessing the Use of Conventional and New Generation Tobacco and Nicotine Products,10.2478/cttr-2025-0007,2025,acrylonitrile,"The abstract discusses the use of tobacco-free nicotine products such as nicotine replacement therapy (NRT) products and electronic cigarettes (ECs) as alternatives to combustible cigarettes, which are associated with acrylonitrile exposure. While it does not explicitly state that these alternatives are safer than acrylonitrile, the context implies a transition towards products that likely present lower risks compared to traditional tobacco products that generate acrylonitrile.",,
Comparative Lifecycle Analysis of Sri Lankan Non-Conventional Roofing Materials,10.54389/bjbj5248,2022,acrylonitrile,"The abstract compares the environmental impacts of Acrylonitrile Styrene Acrylate roofing sheets with Calicut-type clay roofing tiles, indicating that the clay tiles have a lower global warming potential (8.95 kgs of CO2 eq. compared to 13.5 kgs for Acrylonitrile Styrene Acrylate). This suggests that Calicut-type clay roofing tiles may be a safer alternative due to their lower environmental impact.",Calicut-type clay roofing tiles,
Preliminary Evaluation of the Ergonomic Properties of Gloves for Protection Against Mineral Oils Based on Manual Dexterity Tests,10.1520/JTE20120224,2013,acrylonitrile,"The abstract compares gloves made of chloroprene rubber to those coated with acrylonitrile-butadiene rubber or nitrile rubber, stating that chloroprene rubber gloves exhibited greater comfort and smaller decrease in ergonomic properties when exposed to mineral oils. This indicates a safety or ergonomic advantage of chloroprene rubber over acrylonitrile-butadiene rubber, suggesting chloroprene rubber as a safer alternative to acrylonitrile-containing gloves.",chloroprene rubber,
Polymers in additive manufacturing: The case of a water pump impeller,10.5937/FMET1703354P,2017,acrylonitrile,"The abstract discusses Polylactic Acid (PLA) as an alternative to Acrylonitrile Butadiene Styrene (ABS) and describes PLA as environmentally friendly and safe to use, which implies it is a safer alternative to acrylonitrile. Additionally, it mentions that polyether-ether-ketone (PEEK) is superior to ABS, suggesting potential safety advantages as well.",Polylactic Acid (PLA),
Analysis of various polymer parts in contact with biodiesel,10.4995/JARTE.2021.14771,2021,acrylonitrile,"The abstract indicates that the Viton sample was the least affected by treatment compared to the acrylonitrile sample, which showed the greatest variations. This suggests that Viton may be a safer alternative to acrylonitrile in the context of biodiesel exposure, as it demonstrates better performance and potentially lower risk of degradation.",Viton,
DETOXIFICATION OF ACRYLONITRILE VIA PHASE-TRANSFER CATALYZED SULFENYLATION,10.1002/CHIN.198143324,1981,acrylonitrile,"The abstract states that acrylonitrile reacts to form Bis[2-cyan-ethyl]sulfid, which is described as less toxic (LD50 4210 mg/kg) compared to acrylonitrile (LD50 82 mg/kg), indicating a clear safety advantage. This suggests Bis[2-cyan-ethyl]sulfid as a safer alternative to acrylonitrile.",Bis[2-cyan-ethyl]sulfid,toxicity
Acute health effects of desktop 3D printing (fused deposition modeling) using acrylonitrile butadiene styrene and polylactic acid materials: An experimental exposure study in human volunteers,10.1111/ina.12458,2018,acrylonitrile,"The abstract compares the emissions from acrylonitrile butadiene styrene (ABS) with those from polylactic acid (PLA) and indicates that PLA is a low-emitting alternative. The mention of lower emissions from PLA suggests it may be a safer option compared to ABS, which is associated with higher levels of inflammatory markers and symptoms.",polylactic acid (PLA),"eosinophilic inflammation from inhaled ultrafine particles, indisposition, odor nuisance"
