title,doi,year,target,reasoning,alternatives,CHEMICAL HARM
Insecticidal efficacy and persistence of a co-occluded binary mixture of Helicoverpa armigera nucleopolyhedrovirus (HearNPV) variants in protected and field-grown tomato crops on the Iberian Peninsula.,10.1002/ps.4035,2016,chlorpyrifos,"The abstract discusses the insecticidal efficacy and persistence of the HearSP1B:LB6 mixture, indicating that it is as effective as chlorpyrifos in reducing damaged fruit percentage. However, it also notes that the persistence of the OBs was significantly lower than that of chlorpyrifos, which suggests a potential safety advantage. This implies that HearSP1B:LB6 could be a safer alternative to chlorpyrifos due to its lower persistence, which can be interpreted as a safety advantage in terms of environmental impact.",HearSP1B:LB6,
"Effects of agrochemicals on disease severity of Acanthostomum burminis infections (Digenea: Trematoda) in the Asian common toad, Duttaphrynus melanostictus",10.1101/165795,2017,chlorpyrifos,"The abstract indicates that dimethoate, glyphosate, and propanil reduced the number of cercarial-induced malformations relative to chlorpyrifos, suggesting that these substances may be safer alternatives. This comparison implies a safety advantage over chlorpyrifos in terms of developmental malformations.",dimethoate; glyphosate; propanil,"decreased survival of tadpoles and metamorphs, developmental malformations such as scoliosis, kyphosis, and skin ulcers, additive reduction in host survival when combined with cercariae"
Rosiglitazone inhibits chlorpyrifos-induced apoptosis via modulation of the oxidative stress and inflammatory response in SH-SY5Y cells.,10.1016/j.taap.2014.04.021,2014,chlorpyrifos,"The abstract indicates that rosiglitazone (RGZ) has neuroprotective effects against chlorpyrifos (CPF)-induced neuronal cell death, suggesting that RGZ may be a safer alternative due to its ability to reduce oxidative stress and inflammatory responses associated with CPF toxicity.",rosiglitazone,"oxidative stress, neuronal cell death, activation of inflammatory genes (COX-2, TNF-α), activation of inflammatory transcription factor NF-κB, induction of apoptosis, cytotoxicity"
Effects of per-household processes on the levels of chlorpyrifos residues in lettuce (Lactuca sativa),10.1186/s40550-016-0037-3,2016,chlorpyrifos,"The abstract indicates that mild detergent treatment is more effective in reducing chlorpyrifos residue levels on lettuce compared to other treatments. This suggests a safer method for reducing the health risks associated with chlorpyrifos residues, implying that the washing procedure serves as a safer alternative to consuming lettuce with chlorpyrifos residues.",,health risk to consumers due to residue levels above MRL shortly after application
"Prospective of mycorrhiza and Beauvaria bassiana silica nanoparticles on Gossypium hirsutum L. plants as biocontrol agent against cotton leafworm, Spodoptera littoralis",10.1186/s12870-022-03763-x,2022,chlorpyrifos,"The abstract compares the effects of Beauvaria bassiana silica nanoparticles (Si NPs) and arbuscular mycorrhizal (AM) fungi with the chemical insecticide chlorpyrifos. It states that AM fungi can partially or completely replace chemical insecticides and that chlorpyrifos application caused a higher decrease in AM colonization rates, implying a negative impact. The use of AM fungi and B. bassiana Si NPs reduced lipid peroxidation caused by the insect, suggesting a protective effect. These points indicate that the combination of AM fungi and B. bassiana Si NPs is presented as a safer alternative to chlorpyrifos.",arbuscular mycorrhizal (AM) fungi; Beauvaria bassiana silica nanoparticles (Si NPs),
"Growth, development and fecundity of the earthworm Aporrectodea caliginosa after exposure to two organophosphates",10.30843/NZPP.2000.53.3692,2000,chlorpyrifos,"The abstract compares the effects of chlorpyrifos and diazinon on earthworm fecundity and notes that chlorpyrifos affected maturation rates and fecundity at the highest concentration, whereas diazinon had no effect at either concentration. This suggests diazinon may have a safety advantage over chlorpyrifos in this context, implying it could be a safer alternative.",diazinon,"reduced growth during exposure, affected maturation rates at highest concentration, affected fecundity at highest concentration"
In-Vitro Effects of Ricinus Communis Seed Kernel Extract On Some Antioxidant And Hydrolytic Enzymes In Nymph And Adult Zonocerus Variegatus (Grasshopper),10.36108/pajols/9102/30(0130),2019,chlorpyrifos,The abstract explicitly states that the seed kernel extract of Ricinus communis is an effective pesticidal agent and could be a source of biopesticide alternative with greater potential than chlorpyrifos. This indicates that RCSKE is presented as a safer alternative to chlorpyrifos.,Ricinus communis seed kernel extract,
Evaluation and possible mechanism of beet armyworm (Spodoptera exigua Hubner) resistance to chlorpyrifos and their sensitivity to neem oil insecticides,10.1515/opag-2020-0078,2020,chlorpyrifos,"The abstract indicates that S. exigua is sensitive to neem oil insecticides, with resistance ratios less than 1, suggesting that neem oil could be a safer alternative to chlorpyrifos for managing resistant pests. This implies lower toxicity or environmental risk compared to chlorpyrifos, fulfilling the criteria for a safer alternative.",neem oil,
Genotoxicidad de tres plaguicidas utilizados en la actividad bananera de Costa Rica,10.15517/RBT.V1I2.15343,2014,chlorpyrifos,"The abstract compares the genotoxicity of chlorpyrifos, imazalil, and thiabendazole. It states that chlorpyrifos and imazalil induced significant DNA damage, with chlorpyrifos causing the most damage, while thiabendazole did not induce DNA damage at any tested concentration. This suggests thiabendazole has a safety advantage in terms of genotoxicity compared to chlorpyrifos, indicating it could be a safer alternative.",thiabendazole,"genotoxicity, DNA damage, induction of DNA breaks"
"Pyrethroid Insecticides: Use, Environmental Fate, and Ecotoxicology",10.5772/29495,2012,chlorpyrifos,"The abstract discusses the gradual replacement of organophosphate insecticides, including chlorpyrifos, with pyrethroids due to concerns over toxicity, particularly for children. This indicates that pyrethroids are considered a safer alternative in the context of reducing potential toxicity in people, especially children.",pyrethroids,"toxicity in people, potential toxicity especially in children, presence in groundwater"
Protective Effect of Selenium-Based Medicines on Toxicity of Three Common Organophosphorus Compounds in Human Erythrocytes In Vitro,10.22074/CELLJ.2016.3846,2016,chlorpyrifos,"The abstract discusses the protective effects of selenium-based medicines, IMOD and ANG, against the toxicity of chlorpyrifos (CHP) and other organophosphorus compounds. It indicates that these substances can restore AChE activity and reduce oxidative stress caused by CHP, suggesting they may serve as safer alternatives.",selenium-based medicines,"acetylcholinesterase (AChE) inhibition, oxidative stress (OS)"
Ozone as a Safety Post-Harvest Treatment for Chlorpyrifos Removal from Vegetables and its Effects on Vegetable Quality,10.15436/2377-0619.17.1319,2017,chlorpyrifos,"The abstract discusses the use of ozonated water (OZW) as a method for removing chlorpyrifos residues from vegetables, indicating that this method is safe and does not produce significant undesirable effects on vegetable quality. It implies that OZW is a safer method for removing chlorpyrifos, thus presenting it as a safer alternative to chlorpyrifos itself.",ozonated water (OZW),
TOXICITY OF INSECTICIDES AND BIOPESTICIDES TO EGG PARASITOID TRICHOGRAMMA CHILONIS ISHII. (HYMENOPTERA: TRICHOGRAMMATIDAE),10.15666/aeer/2006_48074818,2022,chlorpyrifos,"The abstract indicates that biopesticides such as Metarhizium anisopliae, Beauveria bassiana, and Metarhizium rileyi are innocuous to Trichogramma chilonis, suggesting they are safer alternatives to chlorpyrifos, which is noted to be highly lethal. The mention of less toxic insecticides also implies a safer option compared to chlorpyrifos.",Metarhizium anisopliae; Beauveria bassiana; Metarhizium rileyi,contact toxicity to adults of Trichogramma chilonis (a hymenopteran egg parasitoid)
Seletividade de inseticidas a vespas predadoras de Leucoptera coffeella (Guér.-Mènev.) (Lepidoptera: Lyonetiidae),10.1590/S1519-566X2001000100020,2001,chlorpyrifos,"The abstract compares the toxicity of several organophosphate insecticides including chlorpyrifos and finds that disulfoton and ethion are selective in favor of predatory wasps, implying lower toxicity to these beneficial insects compared to chlorpyrifos. This selectivity suggests a safety advantage of disulfoton and ethion over chlorpyrifos, indicating they could be safer alternatives.",disulfoton; ethion,high toxicity to predatory wasps
"Dampak Aplikasi Pestisida Sipermetrin, Deltametrin, Klorpirifos dan λ-Sihalotrin Terhadap Kandungan Residu Pestisida pada Biji Kakao",10.24853/JAT.4.1.10-18,2019,chlorpyrifos,"The abstract indicates that λ-cyhalothrin does not leave pesticide residues, and sipermetrin leaves far fewer residues compared to chlorpyrifos. This suggests that both λ-cyhalothrin and sipermetrin are safer alternatives to chlorpyrifos in terms of residue levels, which can be interpreted as a safety advantage.",λ-cyhalothrin; sipermetrin,
Protective effects of Viscum album L. leaf extract on chlorpyrifos-induced hepatotoxicity in wistar rats,10.1016/j.jksus.2022.101957,2022,chlorpyrifos,The abstract indicates that Viscum album L. extract (VAE) provides protection against chlorpyrifos-induced hepatotoxicity and improves biochemical parameters compared to chlorpyrifos-treated rats. This suggests that VAE may serve as a safer alternative due to its protective effects against the toxicity caused by chlorpyrifos.,Viscum album L. extract (VAE),"hepatotoxicity, oxidative stress"
