title,doi,year,target,reasoning,alternatives,CHEMICAL HARM
Effect of exposure to decabromodiphenyl ether and tetrabromobisphenol A in combination with lead and cadmium on soil enzyme activity,10.1016/J.IBIOD.2016.10.032,2017,decabromodiphenyl ether,"The abstract compares the eco-toxicological potential of decabromodiphenyl ether (BDE209) with tetrabromobisphenol A (TBBPA), indicating that BDE209 has a higher eco-toxicological potential to soil enzymatic activity than TBBPA. This suggests that TBBPA may be a safer alternative to BDE209 in terms of its impact on soil enzymes.",tetrabromobisphenol A (TBBPA),eco-toxicological potential to soil enzymatic activity
Effect of Organo‐Modified Nanosepiolite on Fire Behaviors and Mechanical Performance of Polypropylene Composites,10.1002/CJOC.201400828,2015,decabromodiphenyl ether,"The abstract indicates that the addition of organo-modified nanosepiolite (ONSep) improves the fire safety of polypropylene composites that contain decabromodiphenyl ether (DBDPE). It suggests that ONSep enhances the fire safety and allows for a decrease in the total amount of brominated fire retardants, which implies that ONSep could be a safer alternative to DBDPE.",organo-modified nanosepiolite,
Quantification of Zinc Hydroxystannate** and Stannate** Synergies in Halogen-containing Flame-retardant Polymeric Formulations,10.1177/0734904109344302,2010,decabromodiphenyl ether,"The abstract indicates that zinc stannate (ZS) and zinc hydroxystannate (ZHS) are used as synergists in fire-retardant systems and offers properties of relative nontoxicity compared to antimony III oxide (ATO) and decabromodiphenyl ether. It suggests that these alternatives provide safety advantages, particularly in terms of lower toxicity, which can be interpreted as a safer alternative to decabromodiphenyl ether.",zinc stannate; zinc hydroxystannate,
"Rapid removal of decabromodiphenyl ether by mechanochemically prepared submicron zero-valent iron with FeC2O4·2 H2O layers: Kinetics, mechanisms and pathways.",10.1016/j.jhazmat.2023.133309,2023,decabromodiphenyl ether,"The abstract discusses the synthesis and performance of OX-smZVI, which shows a significantly faster removal rate of decabromodiphenyl ether compared to nZVI. While it does not explicitly state that OX-smZVI is safer than decabromodiphenyl ether, the context implies it is a more effective alternative for remediation, suggesting potential safety advantages in terms of efficiency and cost-effectiveness.",,
Assess flame retardants with care,10.1126/science.aay7649,2019,decabromodiphenyl ether,"The abstract explicitly states that recent flame retardants, such as polymeric compounds with high molecular weight, are safer than older alternatives because they do not migrate from polymers and are essentially not bioavailable, reducing harm. It also references a U.S. EPA alternatives assessment for decabromodiphenyl ether, indicating safer alternatives exist. Therefore, it clearly presents safer alternatives to decabromodiphenyl ether.",polymeric flame retardants,
A comparison of the thyroid disruption induced by decabrominated diphenyl ethers (BDE-209) and decabromodiphenyl ethane (DBDPE) in rats.,10.1016/j.ecoenv.2019.02.080,2019,decabromodiphenyl ether,"The abstract compares decabromodiphenyl ethane (DBDPE) as an alternative flame retardant to decabrominated diphenyl ethers (BDE-209) and finds that both disrupt thyroid function. However, it explicitly states that DBDPE was found to be less toxic than BDE-209, indicating a safety advantage.",decabromodiphenyl ethane (DBDPE),"thyroid function disruption, thyrotoxicosis, oxidative damage to thyroid gland, histological and ultrastructural changes in thyroid gland, perturbations of hypothalamic-pituitary-thyroid (HPT) axis"
Combining In Silico Tools with Multicriteria Analysis for Alternatives Assessment of Hazardous Chemicals: Accounting for the Transformation Products of decaBDE and Its Alternatives,10.1021/acs.est.0c02593,2020,decabromodiphenyl ether,"The abstract explicitly states that even when considering transformation products, the five alternatives to decabromodiphenyl ether remain less hazardous than decaBDE. It identifies melamine and bis(2-ethylhexyl)-tetrabromophthalate as the least hazardous alternatives, indicating a clear safety advantage over decaBDE.",melamine; bis(2-ethylhexyl)-tetrabromophthalate,"persistence, bioaccumulation, toxicity"
Melatonin as an Alleviator in Decabromodiphenyl Ether-Induced Aberrant Hippocampal Neurogenesis and Synaptogenesis: The Role of Wnt7a,10.3390/biom15081087,2025,decabromodiphenyl ether,"The abstract discusses the neuroprotective effects of melatonin in the context of cognitive impairments caused by decabromodiphenyl ether (BDE-209). It suggests that melatonin could serve as a potential intervention for the cognitive deficits induced by PBDEs, indicating it may be a safer alternative due to its alleviating effects on neurogenesis and synaptogenesis disrupted by BDE-209.",melatonin,"irreversible cognitive impairments, inhibition of hippocampal neural progenitor pool, inhibition of immature neuron differentiation, inhibition of mature neuron survival, reduced dendritic branching and spine density, long-lasting suppression of Wnt7a-FZD5/β-catenin pathway and related gene expression"
Selenomethionine alleviates decabromodiphenyl ether-induced oxidative stress and ferroptosis via the NRF2/GPX4 pathway in the chicken brain.,10.1016/j.jhazmat.2023.133307,2023,decabromodiphenyl ether,"The abstract suggests that selenomethionine (Se-Met) has a significant detoxification effect and protects the nervous system, indicating it may serve as a preventative and control measure against the toxic effects of decabromodiphenyl ether (BDE209). This implies that Se-Met could be a safer alternative to BDE209, as it alleviates the neurotoxic effects caused by BDE209.",selenomethionine,"neurotoxicity, behavioral abnormalities, cognitive impairment, oxidative stress, ferroptosis, mitochondrial atrophy, cristae breakage, increased Fe2+ content, increased MDA content, decreased antioxidant enzyme activity, inhibition of the NRF2/GPX4 signaling pathway"
Enhancement of fire retardancy properties of glass fibre–reinforced polyesters composites,10.1002/fam.2733,2019,decabromodiphenyl ether,"The abstract compares alumina trihydrate (ATH) and decabromodiphenyl ether (DBDE) in fire retardancy tests and states that ATH at 47.7 phr completely inhibits ignition, whereas DBDE-containing materials exhibit ignition and flame propagation. This indicates a safety advantage of ATH over DBDE in terms of fire retardancy, which can reasonably be interpreted as a safer alternative to DBDE.",alumina trihydrate (ATH),
