title,doi,year,target,reasoning,alternatives,CHEMICAL HARM
"Bio-efficacy of bifenthrin 8 SC against shoot and fruit borer and red spidermite of okra, Abelmoschus esculentus (L.) Moench",10.31018/JANS.V9I1.1194,2017,dicofol,"The abstract indicates that bifenthrin 8 SC was found to be significantly superior in controlling pests compared to dicofol, and it also did not have significant adverse effects on beneficial insect populations. This suggests that bifenthrin may be a safer alternative to dicofol in terms of environmental impact and safety for beneficial insects.",bifenthrin,
"Effects of selected pesticides on web building behaviour of Larinioides sclopetarius (Clerck) (Araneae, Araneidae)",10.1111/j.1439-0418.1994.tb00713.x,1994,dicofol,"The abstract indicates that Pirimor® (pirimicarb) caused neither mortality nor aberrations in web geometry, suggesting it is a safer option compared to Kelthane® EC (dicofol), which resulted in 10% mortality. This comparison implies that Pirimor® is a safer alternative to dicofol.",pirimicarb,10% mortality in common gray cross spider Larinioides sclopetarius
"Impact of Bifenthrin on Yellow Mite in Pepper Plants under Field Conditions at Wadi Al-Mollak, East Delta, Egypt",10.21608/asejaiqjsae.2022.220640,2022,dicofol,"The abstract explicitly states that bifenthrin was found to be relatively safer than dicofol, indicating a safety advantage in terms of toxicity to predatory mites and residue persistence. This comparison clearly positions bifenthrin as a safer alternative to dicofol.",bifenthrin,"high toxicity to predatory mites (Amblyseius ovalis), longer residue persistence compared to bifenthrin"
Ph 70–23: A new acaricide and insecticide interfering with chitin deposition,10.1002/PS.2780220106,1988,dicofol,"The abstract indicates that PH 70–23 has better ovo-larvicidal activity than dicofol and does not influence the fertility of mites, suggesting a potential safety advantage. Additionally, it mentions the absence of cross-resistance to PH 70–23 in a strain resistant to dicofol, which implies a safer alternative in terms of resistance management.",,
"Toxicity of 6 Miticides to the Asian Citrus Psyllid, Diaphorina citri (Hemiptera: Liviidae)",10.1653/024.096.0207,2013,dicofol,"The abstract indicates that bifenazate is the only miticide that was not toxic to any life stage of the Asian citrus psyllid (ACP), suggesting it is a safer alternative compared to dicofol, which is toxic to adults and nymphs. This implies that bifenazate could be a safer option for controlling mite outbreaks without adversely affecting ACP.",bifenazate,toxicity to adult and nymphal Asian citrus psyllid (ACP)
Hazard Assessment of Alternatives to Dicofol,10.4236/JEP.2010.13028,2010,dicofol,"The abstract explicitly states that active principles with fluoralkenyl are proposed as an environmental and healthy alternative to dicofol, indicating a safer alternative. It also discusses other chemical groups as alternatives but does not clearly state their safety advantages. The mention of fluoralkenyl compounds as environmental and healthy alternatives meets the criteria for a safer alternative.",fluoralkenyl compounds,"persistence in food and water, high toxicity to aquatic life, causes egg-shell thinning in some bird species, potential for long range transport, bioaccumulation in wildlife species"
Integration of bifenazate and western predatory mite (Acari: Phytoseiidae) for control of pecan leaf scorch mite (Acari: Tetranychidae) in pecan orchards.,10.18474/0749-8004-44.2.98,2009,dicofol,"The abstract explicitly states that bifenazate is a possible replacement for dicofol and highlights its benefits, such as conserving phytoseiid mites, which indicates a safety advantage over dicofol. This suggests that bifenazate is a safer alternative in the context of controlling pecan leaf scorch mites.",bifenazate,
THE EFFECT OF CERTAIN MITICIDES ON THE PREDACIOUS MITE NEOSEIULUS CAUDIGLANS (ACARINA:PHYTOSEIIDAE),10.4141/CJPS66-087,1966,dicofol,"The abstract discusses several miticides and their toxicity levels to the predatory mite Neoseiulus caudiglans. It indicates that while dicofol and some other miticides are low in initial toxicity, they have high residual toxicity. In contrast, heavy and light oils are described as low in toxicity without the high residual effects, suggesting they may be safer alternatives to dicofol.",heavy oils; light oils,high residual toxicity to predatory phytoseiid mite Neoseiulus caudiglans
"Effect of feeding treated prey with dicofol and avermectin on the survival, reproduction and development of the predacious mite Phytoseius finitimus (Acari, Phytoseiidae)",10.1111/j.1439-0418.1987.tb00493.x,1987,dicofol,"The abstract compares the effects of dicofol and avermectin on the predacious mite Phytoseius finitimus, showing that dicofol caused a sharp decrease in egg production and higher immature mortality, while avermectin resulted in better development and less immature mortality. This indicates that avermectin has safety advantages over dicofol in this biological context, suggesting it as a safer alternative.",avermectin,"moderate toxicity when ingested by predacious mites, sharp decrease in egg production after 120 hours of ingestion, high immature mortality and poor development when fed on dicofol-treated prey"
"Success of mite-fighting tactics evaluated: In Central Valley, early-season release of Willamette mites confers resistance on wine grapes",10.3733/CA.V052N06P21,1998,dicofol,"The abstract discusses the use of Willamette mites as a method to control Pacific mites, indicating that they can reduce populations effectively. While it does not explicitly state that Willamette mites are safer than dicofol, the context implies a biological control method that may offer a safer alternative to chemical miticides like dicofol, particularly since it suggests a mechanism of stimulating host plant resistance rather than relying on chemical treatments.",,
"Successive release of the predatory mite, Phytoseius plumifer for combating Tetranychus arabicus ( Acarina )on fig seedlings.",10.1111/J.1439-0418.1974.TB01903.X,2009,dicofol,"The abstract describes the use of the predatory mite Phytoseius plumifer to suppress Tetranychus arabicus populations and notes that dicofol application killed the predator, allowing the pest population to rebound. This implies that the predatory mite is a safer alternative to dicofol because it does not kill beneficial predators and maintains pest control, whereas dicofol disrupts this balance. Therefore, the predatory mite is presented as a safer alternative to dicofol.",Phytoseius plumifer,toxicity to predatory mites (Phytoseius plumifer)
