title,doi,year,target,reasoning,alternatives,CHEMICAL HARM
"A A GAP Replacement, Part 2: Preparation of Poly(3-azidooxetane) via Azidation of Poly(3-tosyloxyoxetane) and Poly(3-mesyloxyoxetane).",10.1021/acs.joc.1c02907,2022,oxirane,"The abstract explicitly states that poly(3-azidooxetane) is a fully adequate and potentially more environmentally benign substitute for glycidyl azide polymer (GAP), which is oxirane-based and synthesized using toxic epichlorohydrin. It highlights improved safety by avoiding handling sensitive 3-azidooxetane and lower aquatic toxicity compared to epichlorohydrin, indicating a safer alternative to oxirane-based GAP.",poly(3-azidooxetane),toxicity of epichlorohydrin
Derivatization of PVA into Polyols Suitable for Fabrication of Rigid Polyurethane Foams—Preliminary Studies and Perspectives,10.3390/ma18122780,2025,oxirane,"The abstract indicates that polyols derived from poly(vinyl alcohol) (PVA) are ecologically safe and demonstrate significant biodegradation, which suggests a safety advantage over traditional oxirane-derived products. The mention of better thermal resistance and biodegradability implies that the PVA-derived polyols could serve as a safer alternative to oxirane in the context of polyurethane foam production.",polyols derived from poly(vinyl alcohol) (PVA),
Genotoxicity assessment of oxirane-based dental monomers in mammalian cells.,10.1002/JBM.A.20077,2004,oxirane,"The abstract reports that DECHE-TOSU, an oxirane-based monomer, showed lack of DNA damage and cell-cycle effects, unlike other oxirane monomers tested which caused DNA damage and cell cycle disruption. This indicates that DECHE-TOSU has a better safety profile in terms of genotoxicity compared to other oxirane monomers, suggesting it as a safer alternative.",DECHE-TOSU,"DNA damage, mutations, possible carcinogenesis, cell cycle disruption"
Synthesis and characterization of green urethane non‐isocyanate from oleic acid for wood composite application,10.1002/app.54803,2023,oxirane,"The abstract discusses the synthesis of green urethane from oleic acid as an alternative to conventional polyurethane, which is synthesized using isocyanates associated with health and environmental issues. While it does not explicitly compare the safety of the green urethane to oxirane, it implies a safer alternative by highlighting the avoidance of isocyanate routes, which are known to pose significant health risks.",,
Dimethyl Carbonate in the Regio‐ and Stereocontrolled Opening of Three‐Membered Heterocyclic Rings.,10.1002/CHIN.201226044,2012,oxirane,"The abstract explicitly states that harmful or carcinogenic solvents can be replaced by dimethyl carbonate, which is described as more eco-friendly. This implies that dimethyl carbonate is a safer alternative to oxirane in the context of nucleophilic ring-opening reactions.",dimethyl carbonate,
Poly(Alkyl Glycidate Carbonate)s as Degradable Pressure-Sensitive Adhesives.,10.1002/anie.201811894,2019,oxirane,"The abstract describes poly(carbonate) analogues as an environmentally friendly and biocompatible alternative, suggesting safety advantages over conventional materials. While it does not explicitly state that these alternatives are safer than oxirane, the context implies a safer replacement in terms of environmental impact and biocompatibility.",,
Comparative evaluation of microleakage in class II cavities restored with Ceram X and Filtek P-90: An in vitro study,10.4103/0976-237X.94539,2012,oxirane,"The abstract indicates that Filtek P90, a silorane-based composite, may be a better substitute for methacrylate-based composites, which are known to have high polymerization shrinkage. This suggests that Filtek P90 could be a safer alternative due to its reduced microleakage, which is a safety concern in dental restorations.",silorane,
"The rabbit liver microsomal biotransformation of 1,1-dialkylethylenes: enantioface selection of epoxidation and enantioselectivity of epoxide hydrolysis.",10.1002/CHIR.530060308,1994,oxirane,"The abstract compares the results of the biotransformation of certain epoxides with those of linear and branched chain alkyl monosubstituted oxiranes, indicating that the introduction of a second alkyl substituent affects the selectivity of the reaction. This suggests that the studied epoxides may present a safer alternative to oxirane due to the observed differences in selectivity and hydrolysis behavior.",epoxides,
Synthesis of Thiiranes from Oxiranes in the Presence of β‐Cyclodextrin in Water,10.1002/ADSC.200303179,2004,oxirane,"The abstract indicates that the use of β‐cyclodextrin in the conversion process provides a safer alternative by eliminating the need for heavy metal halides and hazardous organic solvents, which are typically associated with oxirane. This suggests a reduction in environmental and health risks compared to traditional methods involving oxirane.",,
CHEMICAL AND ORGANOLEPTIC PROPERTIES OF BEKAI (Pycnarrhena tumefacta Miers) LEAVES FOR FLAVOURING AGENT (BIO-VETSIN),10.20886/ijfr.2020.7.2.121-133,2020,oxirane,"The abstract indicates that bekai leaf can be used as a natural flavoring agent (bio-vetsin) to replace monosodium glutamate (M.S.G.), which is associated with health problems such as cancer. While it does not explicitly compare bekai leaf to oxirane, it suggests that bekai leaf is a healthier alternative to M.S.G., which can be interpreted as a safer alternative in the context of flavoring agents. Therefore, it implies a safer option relative to conventional flavoring agents like M.S.G.",,
Investigation of the Impact of Two Types of Epoxidized Vietnam Rubber Seed Oils on the Properties of Polylactic Acid,10.1155/2021/6698918,2021,oxirane,"The abstract discusses the use of epoxidized rubber seed oils (ERO and EERO) as biodegradable, renewable plasticizers to replace petroleum-based plasticizers for polylactic acid (PLA). While it does not explicitly mention oxirane, it implies a safer alternative by promoting the use of renewable materials over petroleum-based options, which are typically associated with higher environmental risks.",,
"Silorane resin supports proliferation, differentiation, and mineralization of MLO-A5 bone cells in vitro and bone formation in vivo.",10.1002/jbm.b.32649,2012,oxirane,"The abstract indicates that the silorane-based resin (SilMix) has little toxicity and supports bone cell function, contrasting it with the standard bisGMA/TEGDMA methacrylate resin (BT), which exhibited significant cytotoxic effects. This suggests that SilMix is a safer alternative to conventional materials used in bone cements, which can be reasonably interpreted as a safer alternative to oxirane.",silorane,
Isocyanate- and phosgene-free routes to polyfunctional cyclic carbonates and green polyurethanes by fixation of carbon dioxide.,10.1002/marc.201400209,2014,oxirane,"The abstract discusses the development of non-isocyanate polyurethanes (NIPUs) as an alternative to conventional polyurethanes, which typically involve hazardous isocyanates. It highlights the absence of isocyanates as intermediates, which eliminates the need for special safety precautions, indicating a safety advantage over traditional methods that use oxirane. Therefore, NIPUs can be interpreted as a safer alternative to oxirane-based processes.",non-isocyanate polyurethanes (NIPUs),
Toxic contaminants in polyoxyethylene alkylamines,10.1515/tsd-1999-360307,1999,oxirane,"The abstract discusses a two-step synthesis method that reduces the levels of toxic contaminants compared to the conventional process involving oxirane. It specifically mentions that the lowest amounts of toxic components are observed in N-alkyl-N,N-di(hydroxyethyl)amine, which suggests it is a safer alternative due to lower toxicity.","N-alkyl-N,N-di(hydroxyethyl)amine",
ANÁLISE COMPARATIVA ENTRE COMPÓSITOS REFORÇADOS COM BAGAÇO DE CANA-DE-AÇÚCAR PRODUZIDOS A PARTIR DE ÓLEO DE SOJA EPOXIDADO COMERCIAL E ÓLEO DE SOJA PROVENIENTE DE FRITURAS,10.56238/levv15n43-117,2024,oxirane,"The abstract discusses the use of epoxidized soybean oil as a more sustainable matrix compared to commercial epoxy derived from petroleum. It indicates that the residual frying soybean oil has a lower oxirane oxygen content (4.55% m/m) compared to commercial epoxy (6.53% m/m), suggesting a potential safety advantage due to lower unsaturation and possibly lower toxicity. This implies that epoxidized soybean oil could be a safer alternative to oxirane.",epoxidized soybean oil,
Polyols from castor oil (Ricinus communis) and epoxidized soybean oil (Glycine max) for application as a lubricant base,10.1002/aocs.12749,2023,oxirane,"The abstract discusses the development of polyols from renewable sources, specifically highlighting transamidated castor oil (TACO) polyol as a promising alternative in biolubricants. It emphasizes eco-friendly behavior, which can be interpreted as a safety advantage compared to conventional methods that may involve oxirane.",transamidated castor oil (TACO) polyol,
"Reactions of cotton or diethylaminoethyl cotton with 1‐chloro‐2,3‐epithiopropane",10.1002/APP.1969.070130405,1969,oxirane,"The abstract compares the properties of fabrics treated with 1-chloro-2,3-epithiopropane and epichlorohydrin, indicating that the thiirane (1-chloro-2,3-epithiopropane) has a smaller improvement in wrinkle recovery properties and a greater tendency to form polymers rather than crosslinking. This suggests that the thiirane may be a safer alternative due to its lower tendency to crosslink and lower chlorine content, which can be interpreted as a safety advantage compared to oxirane.","thiirane (1-chloro-2,3-epithiopropane)",
Assessment of cytotoxicity and DNA damage exhibited by siloranes and oxiranes in cultured mammalian cells.,10.1016/J.MRGENTOX.2007.07.003,2007,oxirane,"The abstract compares oxiranes and siloranes, noting that oxiranes have known genotoxic properties while siloranes exhibit low genotoxic potential and did not cause significant DNA damage in assays. This suggests siloranes may be safer alternatives to oxiranes in biomaterial development.",siloranes,"genotoxicity, cytotoxicity"
Design and synthetic evaluation of novel andrographolide and etomoxir-based CPT1 Inhibitors,10.30574/msabp.2025.16.1.0062,2025,oxirane,"The abstract indicates that the newly designed analogs show 'reduced reactivity flags relative to etomoxir-like chemotypes,' which suggests an improvement in safety compared to etomoxir. This implies that the new compounds are designed to be safer alternatives to etomoxir, which is linked to hepatotoxicity.",,
Studi Perbandingan Sifat Mekanis Vulkanisat Karet Menggunakan Plasticizer Minyak Jelantah Epoksi Dan Komersil,10.26760/jrh.v7i2.138-151,2023,oxirane,"The abstract indicates that epoxy waste cooking oil (EUCO) can replace petroleum-based plasticizers, such as paraffinic oil (PO), which implies a safer alternative to conventional plasticizers derived from petroleum. It discusses environmental and health issues associated with petroleum plasticizers, suggesting that EUCO offers a safer option.",epoxy waste cooking oil (EUCO),
A GAP Replacement: Improved Synthesis of 3-Azidooxetane and Its Homopolymer Based on Sulfonic Acid Esters of Oxetan-3-ol.,10.1021/acs.joc.1c01060,2021,oxirane,"The abstract discusses the polymerization of 3-azidooxetane as a solution to the issues associated with oxiranes like glycidyl azide, specifically mentioning that it leads to more homogeneous curing results and avoids the problems of toxic solvents and low yields found in previous methods. While it does not explicitly state that 3-azidooxetane is safer than oxirane, it implies safety advantages by addressing the toxicity and reproducibility issues of existing methods, suggesting it could be a safer alternative.",,
Selective Epoxidation of Crude Oleic Acid-Palm Oil with in situ Generated Performic Acid,10.14419/IJET.V7I4.40.24423,2018,oxirane,"The abstract discusses the epoxidation of oleic acid using performic acid generated in situ, which is implied to be a safer method compared to traditional methods involving oxirane. It mentions the production of a 'sustainable and friendly epoxide,' suggesting safety advantages without explicitly naming oxirane as a direct comparison.",,
Catalytic Epoxidation of Soybean Oil Methyl Esters,10.4028/www.scientific.net/AMR.396-398.833,2011,oxirane,"The abstract discusses the use of plant oil-based epoxy materials as environment-friendly alternatives to petrochemical-based epoxy materials, which can be interpreted as a safer alternative to oxirane. It highlights the benefits of using soybean oil methyl esters and the efficiency of the chemo-enzymatic method, suggesting a safer approach without explicitly naming oxirane as a direct comparison.",plant oil-based epoxy materials; soybean oil methyl esters,
