title,doi,year,target,reasoning,alternatives,CHEMICAL HARM
A critical review of the application of polymer of low concern and regulatory criteria to fluoropolymers,10.1002/ieam.4035,2018,perfluorooctanoic acid,"The abstract explicitly states that fluoropolymers, such as polytetrafluoroethylene (PTFE), have low bioavailability, are not bioaccumulative, and show no chronic toxicity or carcinogenicity in clinical studies, contrasting with perfluorooctanoic acid (PFOA). It concludes that fluoropolymers satisfy criteria to be considered 'polymers of low concern' and are distinctly different from other PFAS including PFOA, implying a safety advantage. Therefore, fluoropolymers are presented as a safer alternative to PFOA.",fluoropolymers; polytetrafluoroethylene (PTFE),
"Grape seed proanthocyanidin extract protects against perfluorooctanoic acid-induced hepatotoxicity by attenuating inflammatory response, oxidative stress and apoptosis in mice.",10.1039/c5tx00260e,2016,perfluorooctanoic acid,"The abstract indicates that grape seed proanthocyanidin extract (GSPE) provides protective effects against liver injury caused by perfluorooctanoic acid (PFOA), suggesting it may serve as a safer alternative due to its ability to attenuate inflammatory response, oxidative stress, and apoptosis. This implies that GSPE has safety advantages compared to PFOA.",grape seed proanthocyanidin extract (GSPE),"liver injury, inflammatory response, oxidative stress, apoptosis in the liver"
"Efficient perfluorooctanoic acid degradation using by a vacuum ultraviolet-activated dithionite reduction system: Reactive species, process optimization, degradation pathways, and toxicity changes",10.1016/j.cej.2025.166162,2025,perfluorooctanoic acid,"The abstract indicates that the degradation products formed from the VUV/S2O4 2−/N2 system are significantly less toxic than perfluorooctanoic acid (PFOA), suggesting a safer alternative. This implies that the method not only degrades PFOA but also results in less harmful byproducts, which can be interpreted as a safety advantage over PFOA itself.",,"strong bioaccumulation potential, toxicity, serious threat to human health"
"Lactic acid bacteria alleviate liver damage caused by perfluorooctanoic acid exposure via antioxidant capacity, biosorption capacity and gut microbiota regulation.",10.1016/j.ecoenv.2021.112515,2021,perfluorooctanoic acid,"The abstract indicates that lactic acid bacteria (LAB) can alleviate liver damage caused by perfluorooctanoic acid (PFOA) exposure, suggesting that LAB may serve as a safer dietary supplement to mitigate the toxic effects of PFOA. This implies that LAB is a safer alternative to PFOA, as it helps to relieve its toxicity without the side effects associated with other medicines and functional food ingredients.",,"multiple toxic effects, liver toxicity, liver damage, gut microbiota dysbiosis"
Fluorination of Boron-Doped Diamond Film Electrodes for Minimization of Perchlorate Formation.,10.1021/acsami.7b06028,2017,perfluorooctanoic acid,"The abstract describes a boron-doped diamond (BDD) electrode functionalized with a 1H,1H,2H,2H-perfluorodecyltrichlorosilane self-assembled monolayer that drastically reduces perchlorate (ClO4-) formation compared to unmodified BDD electrodes. Although perfluorooctanoic acid (PFOA) is mentioned as a fluorination method, the silanized BDD electrode shows a 99.85-99.94% decrease in perchlorate formation rates, indicating a significant safety advantage in terms of minimizing harmful byproducts. This suggests the silanized BDD electrode is a safer alternative to PFOA in this context.","1H,1H,2H,2H-perfluorodecyltrichlorosilane self-assembled monolayer on boron-doped diamond (BDD) electrode",
Comparison of zebrafish in vitro and in vivo developmental toxicity assessments of perfluoroalkyl acids (PFAAs),10.1080/15287394.2020.1842272,2020,perfluorooctanoic acid,"The abstract states that perfluorooctanoic acid (PFOA) is replaced with shorter chain compounds such as perfluorohexanoic acid (PFHxA) and perfluorobutyric acid (PFBA), and reports that mortality rate increased with chain length (PFOA > PFHxA ≫ PFBA), indicating lower toxicity for these shorter chain alternatives. This suggests that PFHxA and PFBA are safer alternatives to PFOA.",perfluorohexanoic acid (PFHxA); perfluorobutyric acid (PFBA),"persistence, increased mortality rate with longer chain length, toxicity associated with chain length and chemical group"
Synthesis and application of non-bioaccumulable fluorinated surfactants: a review,10.1186/s42825-020-00048-7,2021,perfluorooctanoic acid,"The abstract explicitly discusses the development of potential non-bioaccumulable fluorinated surfactants as alternatives to conventional long perfluorocarbon chain surfactants like perfluorooctanoic acid (PFOA). It highlights these alternatives as meeting environmental sustainable development requirements, implying safety advantages such as reduced bioaccumulation compared to PFOA.",non-bioaccumulable fluorinated surfactants,bioaccumulation
Evaluating the potential of KOH-modified composite biochar amendment to alleviate the ecotoxicity of perfluorooctanoic acid-contaminated sediment on Bellamya aeruginosa.,10.1016/j.ecoenv.2021.112346,2021,perfluorooctanoic acid,"The abstract indicates that KOH-modified composite biochar (KOH-CBC) can significantly reduce the bioavailability and uptake of perfluorooctanoic acid (PFOA), thereby alleviating its toxicity to the freshwater snail Bellamya aeruginosa. This suggests that KOH-CBC serves as a safer alternative to PFOA by mitigating its harmful effects, even though KOH-CBC itself is noted to be toxic due to its PAH content.",,"ecotoxicity to freshwater snail Bellamya aeruginosa, toxicity attributed to high polycyclic aromatic hydrocarbons (PAHs) content and alkalinity, toxicity of PFOA to Bellamya aeruginosa"
"Blueberry anthocyanin alleviate perfluorooctanoic acid-induced toxicity in planarian (Dugesia japonica) by regulating oxidative stress biomarkers, ATP contents, DNA methylation and mRNA expression.",10.1016/j.envpol.2018.11.094,2019,perfluorooctanoic acid,"The abstract discusses the protective effects of blueberry anthocyanin (BA) against the toxicity induced by perfluorooctanoic acid (PFOA). It indicates that BA alleviates the harmful effects of PFOA, suggesting that BA serves as a safer alternative by mitigating oxidative stress and other toxic effects associated with PFOA exposure.",blueberry anthocyanin,"oxidative stress, altered energy metabolism, DNA methylation disorders, gene expression disorders"
"Comparative hepatotoxicity of novel lithium bis(trifluoromethanesulfonyl) imide (LiTFSI, ie. HQ-115) and legacy Perfluorooctanoic acid (PFOA) in male mice: Insights into epigenetic mechanisms and pathway-specific responses",10.1016/j.envint.2024.108556,2024,perfluorooctanoic acid,"The abstract compares the hepatotoxicity of LiTFSI and PFOA, indicating that LiTFSI exposure showed lower hepatotoxicity and milder liver injuries than PFOA. This suggests a safety advantage of LiTFSI over PFOA. Therefore, LiTFSI is presented as a potentially safer alternative to perfluorooctanoic acid.",lithium bis(trifluoromethanesulfonyl) imide (LiTFSI),"hepatotoxicity, liver enlargement, elevated serum biomarkers indicating liver injury, liver inflammatory pathways activation, disruption of lipid metabolism, potential oxidative damages, bioaccumulation in serum and liver"
