title,doi,year,target,reasoning,alternatives,CHEMICAL HARM
"Mechanochemical Degradation of Poly(vinyl chloride) into Nontoxic Water‐Soluble Products via Sequential Dechlorination, Heterolytic Oxirane Ring‐Opening, and Hydrolysis",10.1002/adma.202304113,2023,vinyl chloride,"The abstract discusses a mechanochemical degradation process that transforms poly(vinyl chloride) (PVC) into water-soluble biocompatible products, highlighting its low cytotoxicity and phytotoxicity. This indicates a safety advantage over traditional PVC disposal methods, which generate toxic byproducts, thus presenting a safer alternative to vinyl chloride.",,
An Internal Reference Technique for Accurately Quantifying Specific mRNAs by Real-Time PCR with Application to the tceA Reductive Dehalogenase Gene,10.1128/AEM.71.7.3866-3871.2005,2005,vinyl chloride,"The abstract indicates that exposure to TCE or cis-1,2-dichloroethene resulted in significantly higher quantities of tceA mRNA compared to exposure to vinyl chloride. This suggests that TCE and cis-1,2-dichloroethene may be safer alternatives in the context of mRNA expression related to dehalogenation processes, as they lead to a more favorable biological response.","trichloroethylene (TCE); cis-1,2-dichloroethene",
Graft-modified HCPE with methyl methacrylate by the mechanochemistry reaction. II. Physical-mechanical properties and processability,10.1002/APP.13166,2004,vinyl chloride,"The abstract compares the HCPE-g-MMA system to PVC and CPVC, noting that it has superior processability and lacks a toxic monomer, which implies a safety advantage. Since PVC and CPVC are related to vinyl chloride polymers, the HCPE-g-MMA system is presented as a safer alternative to vinyl chloride-based materials.",HCPE-g-MMA,
Estimation of environmental impacts of wood plastic composites (WPC),10.58837/chula.the.2006.1630,,vinyl chloride,"The abstract compares the environmental impacts of wood-plastic composites based on poly (vinyl chloride) (PVC) and polypropylene (PP). It explicitly states that the environmental impacts of WPC-PVC are approximately 1.3 times higher than those of WPC-PP, indicating that WPC-PP is a safer alternative due to its lower environmental impact.",polypropylene (PP),"acidification, heavy metals, respiration of inorganic substances"
"Mutagenecity of vinyl chloride, vinylidene chloride and chloroprene in V79 Chinese hamster cells",10.1016/0165-1218(79)90129-0,1979,vinyl chloride,"The abstract compares vinyl chloride with vinylidene chloride and chloroprene, noting that vinyl chloride induced mutations while the other two compounds did not show mutagenicity under the assay conditions. This suggests that vinylidene chloride and chloroprene may have a safety advantage in terms of mutagenicity compared to vinyl chloride.",vinylidene chloride; chloroprene,"mutagenicity, carcinogenicity"
Quantitative Evaluation of Bacillus Cereus Spore Attachment to the Surface of Disposable Medical Gloves Made from Various Materials,10.4058/JSEI.35.198,2020,vinyl chloride,"The abstract indicates that nitrile rubber gloves had significantly lower attachment of Bacillus cereus spores compared to vinyl chloride gloves, suggesting that nitrile rubber is a safer alternative for medical use due to reduced contamination risk.",nitrile rubber,
"Stability study of docetaxel solution (0.9%, saline) using Non-PVC and PVC tubes for intravenous administration",10.1186/s40824-014-0023-x,2015,vinyl chloride,"The abstract discusses the use of non-PVC tubes as an alternative to PVC tubes containing DEHP, highlighting that the docetaxel solution had better stability when circulated through non-PVC tubes. This implies a safety advantage over PVC due to the absence of DEHP, which is known to have disadvantages. Therefore, non-PVC tubes can be interpreted as a safer alternative to vinyl chloride in this context.",non-PVC,
The composition of poly(vinyl chloride) with polylactide/poly(butylene terephthalate-co-butylene sebacate) and its biodegradation by Phanerochaete chrysosporium,10.1016/j.ibiod.2020.105153,2021,vinyl chloride,"The abstract discusses the modification of poly(vinyl chloride) (PVC) with a polyester binary blend composed of recycled polylactide/poly(butylene terephthalate-co-butylene sebacate) (rPLA/PBTSe). It highlights that this blend reduces the leaching of bis(2-ethylhexyl) phthalate (DEHP) into the environment, which suggests a safety advantage over traditional PVC, indicating that rPLA/PBTSe could be a safer alternative.",polylactide; poly(butylene terephthalate-co-butylene sebacate),
Occupational allergic contact dermatitis from bisphenol A in vinyl gloves,10.1111/j.0105-1873.2003.0241.x,2003,vinyl chloride,"The abstract reports that replacing high-density vinyl (HDV) gloves containing bisphenol A with nitrile rubber gloves resulted in complete clearance of hand dermatitis, indicating a safety advantage. This suggests nitrile rubber gloves are a safer alternative to vinyl gloves in terms of occupational allergic contact dermatitis.",nitrile rubber,allergic contact dermatitis
Characterization and thermal stability of poly(vinyl chloride) plasticized with epoxidized soybean oil for food packaging.,10.1016/J.POLYMDEGRADSTAB.2010.01.027,2010,vinyl chloride,"The abstract explicitly mentions that phthalates, which are commonly used in PVC formulations, can be replaced by epoxidized soybean oil (ESBO), described as harmless and environmentally friendly. This indicates that ESBO is presented as a safer alternative to the conventional plasticizers used in vinyl chloride formulations.",epoxidized soybean oil (ESBO),
